ID,MODEL,PRICE,KM,MFG YEAR,FUEL TYPE,VEHICLE COLOR,VEHICLE TYPE,RATING,RATE COUNT
1,CITY 4TH GENERATION SV MT,915000,65000,2018,PETROL,REDIANT RED METALLIC,MANUAL,5,85
2,CITY 4TH GENERATION SV MT,750000,72000,2015,PETROL,WHITE ORCHID PEARL,MANUAL,5,90
3,CITY 4TH GENERATION SV MT,925000,25000,2020,PETROL,MODERN STEEL METALLIC,MANUAL,4,67
4,CITY 4TH GENERATION SV MT,815000,69000,2016,PETROL,GOLDEN BROWN METALLIC,MANUAL,3,87
5,CITY 4TH GENERATION SV MT,854000,49000,2017,PETROL,LUNAR SILVER,MANUAL,2,85
6,CITY 4TH GENERATION V MT,1035000,28000,2020,PETROL,REDIANT RED METALLIC,MANUAL,5,59
7,CITY 4TH GENERATION V MT,985000,67000,2018,PETROL,WHITE ORCHID PEARL,MANUAL,4,77
8,CITY 4TH GENERATION V MT,1020000,26000,2019,PETROL,MODERN STEEL METALLIC,MANUAL,2,64
9,CITY 4TH GENERATION V MT,935000,52000,2017,PETROL,GOLDEN BROWN METALLIC,MANUAL,3,54
10,CITY 4TH GENERATION V MT,835000,65000,2015,PETROL,LUNAR SILVER,MANUAL,5,85
11,CITY V MT,1125000,45000,2019,PETROL,PLATINUM WHITE PEARL,MANUAL,4,64
12,CITY V MT,925000,67000,2016,PETROL,REDIANT RED METALLIC,MANUAL,3,79
13,CITY V MT,955000,51000,2015,PETROL,LUNAR SILVER METALLIC,MANUAL,5,82
14,CITY V MT,1190000,21000,2020,PETROL,MODERN STEEL METALLIC,MANUAL,3,76
15,CITY V MT,975000,62000,2015,PETROL,GOLDEN BROWN METALLIC,MANUAL,4,83
16,CITY V CVT,1255000,49000,2017,PETROL,PLATINUM WHITE PEARL,AMT,1,81
17,CITY V CVT,1225000,65000,2016,PETROL,REDIANT RED METALLIC,AMT,2,91
18,CITY V CVT,1275000,48000,2018,PETROL,LUNAR SILVER METALLIC,AMT,4,54
19,CITY V CVT,1328000,36000,2019,PETROL,MODERN STEEL METALLIC,AMT,2,84
20,CITY V CVT,1375000,25000,2020,PETROL,GOLDEN BROWN METALLIC,AMT,5,59
21,CITY VX MT,945000,65000,2015,PETROL,PLATINUM WHITE PEARL,MANUAL,3,64
22,CITY VX MT,1358000,32000,2020,PETROL,REDIANT RED METALLIC,MANUAL,2,71
23,CITY VX MT,975000,61000,2016,PETROL,LUNAR SILVER METALLIC,MANUAL,4,54
24,CITY VX MT,1325000,42000,2019,PETROL,MODERN STEEL METALLIC,MANUAL,3,69
25,CITY VX MT,1245000,52000,2018,PETROL,GOLDEN BROWN METALLIC,MANUAL,2,64
26,CITY V MT DIESEL,1360000,33000,2020,DIESEL,PLATINUM WHITE PEARL,MANUAL,5,67
27,CITY V MT DIESEL,985000,64000,2016,DIESEL,REDIANT RED METALLIC,MANUAL,4,54
28,CITY V MT DIESEL,1225000,52000,2017,DIESEL,LUNAR SILVER METALLIC,MANUAL,2,69
29,CITY V MT DIESEL,1275000,43000,2018,DIESEL,MODERN STEEL METALLIC,MANUAL,5,84
30,CITY V MT DIESEL,1345000,39000,2019,DIESEL,GOLDEN BROWN METALLIC,MANUAL,2,85
31,CITY ZX MT,1145000,71000,2015,PETROL,PLATINUM WHITE PEARL,MANUAL,1,72
32,CITY ZX MT,1425000,48000,2019,PETROL,REDIANT RED METALLIC,MANUAL,3,94
33,CITY ZX MT,1485000,25000,2020,PETROL,LUNAR SILVER METALLIC,MANUAL,5,63
34,CITY ZX MT,1175000,63000,2016,PETROL,MODERN STEEL METALLIC,MANUAL,4,57
35,CITY ZX MT,1345000,49000,2018,PETROL,GOLDEN BROWN METALLIC,MANUAL,3,67
36,CITY VX CVT,1245000,58000,2017,PETROL,PLATINUM WHITE PEARL,AMT,5,87
37,CITY VX CVT,1510000,21000,2020,PETROL,REDIANT RED METALLIC,AMT,3,85
38,CITY VX CVT,1375000,61000,2019,PETROL,LUNAR SILVER METALLIC,AMT,4,59
39,CITY VX CVT,1345000,64000,2018,PETROL,MODERN STEEL METALLIC,AMT,2,77
40,CITY VX CVT,1185000,72000,2015,PETROL,GOLDEN BROWN METALLIC,AMT,5,64
41,CITY VX MT DIESEL,1425000,53000,2019,DIESEL,PLATINUM WHITE PEARL,MANUAL,5,54
42,CITY VX MT DIESEL,1315000,67000,2017,DIESEL,REDIANT RED METALLIC,MANUAL,5,85
43,CITY VX MT DIESEL,1555000,21000,2020,DIESEL,LUNAR SILVER METALLIC,MANUAL,4,64
44,CITY VX MT DIESEL,1275000,69000,2016,DIESEL,MODERN STEEL METALLIC,MANUAL,3,79
45,CITY VX MT DIESEL,1410000,56000,2018,DIESEL,GOLDEN BROWN METALLIC,MANUAL,2,82
46,CITY ZX CVT,1485000,54000,2019,PETROL,PLATINUM WHITE PEARL,AMT,5,76
47,CITY ZX CVT,1595000,23000,2020,PETROL,REDIANT RED METALLIC,AMT,4,83
48,CITY ZX CVT,1465000,64000,2017,PETROL,LUNAR SILVER METALLIC,AMT,2,81
49,CITY ZX CVT,1350000,57000,2018,PETROL,MODERN STEEL METALLIC,AMT,3,91
50,CITY ZX CVT,1285000,71000,2016,PETROL,GOLDEN BROWN METALLIC,AMT,5,54
51,CITY ZX MT DIESEL,1425000,62000,2017,DIESEL,PLATINUM WHITE PEARL,MANUAL,4,84
52,CITY ZX MT DIESEL,1575000,49000,2019,DIESEL,REDIANT RED METALLIC,MANUAL,3,59
53,CITY ZX MT DIESEL,1375000,68000,2016,DIESEL,LUNAR SILVER METALLIC,MANUAL,5,64
54,CITY ZX MT DIESEL,1325000,72000,2015,DIESEL,MODERN STEEL METALLIC,MANUAL,3,71
