CITY 4TH GENERATION SV MT  |  RS. 915000  |  65000  KM  ,PRICE,KM,MFG YEAR,VEHICLE COLOR,FUEL TYPE,VEHICLE TYPE
CITY 4TH GENERATION SV MT  |  RS. 750000  |  72000  KM  ,915000,65000,2018,REDIANT RED METALLIC,PETROL,MANUAL
CITY 4TH GENERATION SV MT  |  RS. 925000  |  25000  KM  ,750000,72000,2015,WHITE ORCHID PEARL,PETROL,MANUAL
CITY 4TH GENERATION SV MT  |  RS. 815000  |  69000  KM  ,925000,25000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
CITY 4TH GENERATION SV MT  |  RS. 854000  |  49000  KM  ,815000,69000,2016,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY 4TH GENERATION V MT  |  RS. 1035000  |  28000  KM  ,854000,49000,2017,LUNAR SILVER,PETROL,MANUAL
CITY 4TH GENERATION V MT  |  RS. 985000  |  67000  KM  ,1035000,28000,2020,REDIANT RED METALLIC,PETROL,MANUAL
CITY 4TH GENERATION V MT  |  RS. 1020000  |  26000  KM  ,985000,67000,2018,WHITE ORCHID PEARL,PETROL,MANUAL
CITY 4TH GENERATION V MT  |  RS. 935000  |  52000  KM  ,1020000,26000,2019,MODERN STEEL METALLIC,PETROL,MANUAL
CITY 4TH GENERATION V MT  |  RS. 835000  |  65000  KM  ,935000,52000,2017,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY V MT  |  RS. 1125000  |  45000  KM  ,835000,65000,2015,LUNAR SILVER,PETROL,MANUAL
CITY V MT  |  RS. 925000  |  67000  KM  ,1125000,45000,2019,PLATINUM WHITE PEARL,PETROL,MANUAL
CITY V MT  |  RS. 955000  |  51000  KM  ,925000,67000,2016,REDIANT RED METALLIC,PETROL,MANUAL
CITY V MT  |  RS. 1190000  |  21000  KM  ,955000,51000,2015,LUNAR SILVER METALLIC,PETROL,MANUAL
CITY V MT  |  RS. 975000  |  62000  KM  ,1190000,21000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
CITY V CVT  |  RS. 1255000  |  49000  KM  ,975000,62000,2015,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY V CVT  |  RS. 1225000  |  65000  KM  ,1255000,49000,2017,PLATINUM WHITE PEARL,PETROL,AMT
CITY V CVT  |  RS. 1275000  |  48000  KM  ,1225000,65000,2016,REDIANT RED METALLIC,PETROL,AMT
CITY V CVT  |  RS. 1328000  |  36000  KM  ,1275000,48000,2018,LUNAR SILVER METALLIC,PETROL,AMT
CITY V CVT  |  RS. 1375000  |  25000  KM  ,1328000,36000,2019,MODERN STEEL METALLIC,PETROL,AMT
CITY VX MT  |  RS. 945000  |  65000  KM  ,1375000,25000,2020,GOLDEN BROWN METALLIC,PETROL,AMT
CITY VX MT  |  RS. 1358000  |  32000  KM  ,945000,65000,2015,PLATINUM WHITE PEARL,PETROL,MANUAL
CITY VX MT  |  RS. 975000  |  61000  KM  ,1358000,32000,2020,REDIANT RED METALLIC,PETROL,MANUAL
CITY VX MT  |  RS. 1325000  |  42000  KM  ,975000,61000,2016,LUNAR SILVER METALLIC,PETROL,MANUAL
CITY VX MT  |  RS. 1245000  |  52000  KM  ,1325000,42000,2019,MODERN STEEL METALLIC,PETROL,MANUAL
CITY V MT DIESEL  |  RS. 1360000  |  33000  KM  ,1245000,52000,2018,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY V MT DIESEL  |  RS. 985000  |  64000  KM  ,1360000,33000,2020,PLATINUM WHITE PEARL,DIESEL,MANUAL
CITY V MT DIESEL  |  RS. 1225000  |  52000  KM  ,985000,64000,2016,REDIANT RED METALLIC,DIESEL,MANUAL
CITY V MT DIESEL  |  RS. 1275000  |  43000  KM  ,1225000,52000,2017,LUNAR SILVER METALLIC,DIESEL,MANUAL
CITY V MT DIESEL  |  RS. 1345000  |  39000  KM  ,1275000,43000,2018,MODERN STEEL METALLIC,DIESEL,MANUAL
CITY ZX MT  |  RS. 1145000  |  71000  KM  ,1345000,39000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
CITY ZX MT  |  RS. 1425000  |  48000  KM  ,1145000,71000,2015,PLATINUM WHITE PEARL,PETROL,MANUAL
CITY ZX MT  |  RS. 1485000  |  25000  KM  ,1425000,48000,2019,REDIANT RED METALLIC,PETROL,MANUAL
CITY ZX MT  |  RS. 1175000  |  63000  KM  ,1485000,25000,2020,LUNAR SILVER METALLIC,PETROL,MANUAL
CITY ZX MT  |  RS. 1345000  |  49000  KM  ,1175000,63000,2016,MODERN STEEL METALLIC,PETROL,MANUAL
CITY VX CVT  |  RS. 1245000  |  58000  KM  ,1345000,49000,2018,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY VX CVT  |  RS. 1510000  |  21000  KM  ,1245000,58000,2017,PLATINUM WHITE PEARL,PETROL,AMT
CITY VX CVT  |  RS. 1375000  |  61000  KM  ,1510000,21000,2020,REDIANT RED METALLIC,PETROL,AMT
CITY VX CVT  |  RS. 1345000  |  64000  KM  ,1375000,61000,2019,LUNAR SILVER METALLIC,PETROL,AMT
CITY VX CVT  |  RS. 1185000  |  72000  KM  ,1345000,64000,2018,MODERN STEEL METALLIC,PETROL,AMT
CITY VX MT DIESEL  |  RS. 1425000  |  53000  KM  ,1185000,72000,2015,GOLDEN BROWN METALLIC,PETROL,AMT
CITY VX MT DIESEL  |  RS. 1315000  |  67000  KM  ,1425000,53000,2019,PLATINUM WHITE PEARL,DIESEL,MANUAL
CITY VX MT DIESEL  |  RS. 1555000  |  21000  KM  ,1315000,67000,2017,REDIANT RED METALLIC,DIESEL,MANUAL
CITY VX MT DIESEL  |  RS. 1275000  |  69000  KM  ,1555000,21000,2020,LUNAR SILVER METALLIC,DIESEL,MANUAL
CITY VX MT DIESEL  |  RS. 1410000  |  56000  KM  ,1275000,69000,2016,MODERN STEEL METALLIC,DIESEL,MANUAL
CITY ZX CVT  |  RS. 1485000  |  54000  KM  ,1410000,56000,2018,GOLDEN BROWN METALLIC,DIESEL,MANUAL
CITY ZX CVT  |  RS. 1595000  |  23000  KM  ,1485000,54000,2019,PLATINUM WHITE PEARL,PETROL,AMT
CITY ZX CVT  |  RS. 1465000  |  64000  KM  ,1595000,23000,2020,REDIANT RED METALLIC,PETROL,AMT
CITY ZX CVT  |  RS. 1350000  |  57000  KM  ,1465000,64000,2017,LUNAR SILVER METALLIC,PETROL,AMT
CITY ZX CVT  |  RS. 1285000  |  71000  KM  ,1350000,57000,2018,MODERN STEEL METALLIC,PETROL,AMT
CITY ZX MT DIESEL  |  RS. 1425000  |  62000  KM  ,1285000,71000,2016,GOLDEN BROWN METALLIC,PETROL,AMT
CITY ZX MT DIESEL  |  RS. 1575000  |  49000  KM  ,1425000,62000,2017,PLATINUM WHITE PEARL,DIESEL,MANUAL
CITY ZX MT DIESEL  |  RS. 1375000  |  68000  KM  ,1575000,49000,2019,REDIANT RED METALLIC,DIESEL,MANUAL
CITY ZX MT DIESEL  |  RS. 1325000  |  72000  KM  ,1375000,68000,2016,LUNAR SILVER METALLIC,DIESEL,MANUAL
CITY ZX MT DIESEL  |  RS. 1625000  |  26000  KM  ,1325000,72000,2015,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE E PETROL  |  RS. 425000  |  65000  KM  ,1625000,26000,2020,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE E PETROL  |  RS. 535000  |  42000  KM  ,425000,65000,2016,SILVER,PETROL,MANUAL
AMAZE E PETROL  |  RS. 475000  |  61000  KM  ,535000,42000,2019,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE E PETROL  |  RS. 375000  |  71000  KM  ,475000,61000,2017,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE E PETROL  |  RS. 515000  |  45000  KM  ,375000,71000,2015,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE E PETROL  |  RS. 620000  |  22000  KM  ,515000,45000,2018,RADIANT RED,PETROL,MANUAL
AMAZE S PETROL  |  RS. 475000  |  65000  KM  ,620000,22000,2020,LUNAR SILVER,PETROL,MANUAL
AMAZE S PETROL  |  RS. 675000  |  49000  KM  ,475000,65000,2016,SILVER,PETROL,MANUAL
AMAZE S PETROL  |  RS. 425000  |  70000  KM  ,675000,49000,2019,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE S PETROL  |  RS. 710000  |  35000  KM  ,425000,70000,2015,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE S PETROL  |  RS. 625000  |  62000  KM  ,710000,35000,2020,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE S PETROL  |  RS. 650000  |  55000  KM  ,625000,62000,2017,RADIANT RED,PETROL,MANUAL
AMAZE SPECIAL EDITION  |  RS. 485000  |  64000  KM  ,650000,55000,2018,LUNAR SILVER,PETROL,MANUAL
AMAZE SPECIAL EDITION  |  RS. 665000  |  52000  KM  ,485000,64000,2016,SILVER,PETROL,MANUAL
AMAZE SPECIAL EDITION  |  RS. 445000  |  72000  KM  ,665000,52000,2018,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE SPECIAL EDITION  |  RS. 710000  |  48000  KM  ,445000,72000,2015,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE SPECIAL EDITION  |  RS. 745000  |  35000  KM  ,710000,48000,2019,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE SPECIAL EDITION  |  RS. 645000  |  62000  KM  ,745000,35000,2020,RADIANT RED,PETROL,MANUAL
AMAZE V PETROL  |  RS. 465000  |  75000  KM  ,645000,62000,2017,LUNAR SILVER,PETROL,MANUAL
AMAZE V PETROL  |  RS. 665000  |  68000  KM  ,465000,75000,2015,SILVER,PETROL,MANUAL
AMAZE V PETROL  |  RS. 510000  |  72000  KM  ,665000,68000,2017,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE V PETROL  |  RS. 735000  |  49000  KM  ,510000,72000,2016,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE V PETROL  |  RS. 775000  |  32000  KM  ,735000,49000,2019,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE V PETROL  |  RS. 685000  |  55000  KM  ,775000,32000,2020,RADIANT RED,PETROL,MANUAL
AMAZE E DIESEL  |  RS. 475000  |  74000  KM  ,685000,55000,2018,LUNAR SILVER,PETROL,MANUAL
AMAZE E DIESEL  |  RS. 710000  |  56000  KM  ,475000,74000,2015,SILVER,DIESEL,MANUAL
AMAZE E DIESEL  |  RS. 745000  |  50000  KM  ,710000,56000,2018,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE E DIESEL  |  RS. 675000  |  67000  KM  ,745000,50000,2019,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE E DIESEL  |  RS. 800000  |  31000  KM  ,675000,67000,2017,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE E DIESEL  |  RS. 525000  |  73000  KM  ,800000,31000,2020,RADIANT RED,DIESEL,MANUAL
AMAZE S CVT PETROL  |  RS. 700000  |  68000  KM  ,525000,73000,2016,LUNAR SILVER,DIESEL,MANUAL
AMAZE S CVT PETROL  |  RS. 525000  |  75000  KM  ,700000,68000,2017,SILVER,PETROL,AMT
AMAZE S CVT PETROL  |  RS. 615000  |  72000  KM  ,525000,75000,2015,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE S CVT PETROL  |  RS. 720000  |  57000  KM  ,615000,72000,2016,MODERN STEEL METALLIC,PETROL,AMT
AMAZE S CVT PETROL  |  RS. 845000  |  33000  KM  ,720000,57000,2018,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE S CVT PETROL  |  RS. 775000  |  49000  KM  ,845000,33000,2020,RADIANT RED,PETROL,AMT
AMAZE SPECIAL EDITION CVT  |  RS. 635000  |  65000  KM  ,775000,49000,2019,LUNAR SILVER,PETROL,AMT
AMAZE SPECIAL EDITION CVT  |  RS. 725000  |  63000  KM  ,635000,65000,2016,SILVER,PETROL,AMT
AMAZE SPECIAL EDITION CVT  |  RS. 545000  |  71000  KM  ,725000,63000,2017,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE SPECIAL EDITION CVT  |  RS. 865000  |  21000  KM  ,545000,71000,2015,MODERN STEEL METALLIC,PETROL,AMT
AMAZE SPECIAL EDITION CVT  |  RS. 740000  |  54000  KM  ,865000,21000,2020,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE SPECIAL EDITION CVT  |  RS. 825000  |  48000  KM  ,740000,54000,2018,RADIANT RED,PETROL,AMT
AMAZE EXCLUSIVE EDITION PETROL  |  RS. 845000  |  58000  KM  ,825000,48000,2019,LUNAR SILVER,PETROL,AMT
AMAZE EXCLUSIVE EDITION PETROL  |  RS. 735000  |  69000  KM  ,845000,58000,2019,SILVER,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL  |  RS. 875000  |  35000  KM  ,735000,69000,2017,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL  |  RS. 755000  |  69000  KM  ,875000,35000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL  |  RS. 645000  |  78000  KM  ,755000,69000,2018,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL  |  RS. 585000  |  82000  KM  ,645000,78000,2016,RADIANT RED,PETROL,MANUAL
AMAZE VX PETROL  |  RS. 855000  |  33000  KM  ,585000,82000,2015,LUNAR SILVER,PETROL,MANUAL
AMAZE VX PETROL  |  RS. 845000  |  51000  KM  ,855000,33000,2020,SILVER,PETROL,MANUAL
AMAZE VX PETROL  |  RS. 523000  |  81000  KM  ,845000,51000,2019,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE VX PETROL  |  RS. 576000  |  72000  KM  ,523000,81000,2015,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE VX PETROL  |  RS. 645000  |  61000  KM  ,576000,72000,2016,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE VX PETROL  |  RS. 725000  |  57000  KM  ,645000,61000,2017,RADIANT RED,PETROL,MANUAL
AMAZE S DIESEL  |  RS. 815000  |  50000  KM  ,725000,57000,2018,LUNAR SILVER,PETROL,MANUAL
AMAZE S DIESEL  |  RS. 765000  |  63000  KM  ,815000,50000,2018,SILVER,DIESEL,MANUAL
AMAZE S DIESEL  |  RS. 885000  |  35000  KM  ,765000,63000,2017,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE S DIESEL  |  RS. 845000  |  47000  KM  ,885000,35000,2020,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE S DIESEL  |  RS. 645000  |  68000  KM  ,845000,47000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE S DIESEL  |  RS. 548000  |  69000  KM  ,645000,68000,2016,RADIANT RED,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL  |  RS. 915000  |  31000  KM  ,548000,69000,2015,LUNAR SILVER,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL  |  RS. 785000  |  52000  KM  ,915000,31000,2020,SILVER,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL  |  RS. 615000  |  67000  KM  ,785000,52000,2018,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL  |  RS. 655000  |  65000  KM  ,615000,67000,2016,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL  |  RS. 875000  |  44000  KM  ,655000,65000,2017,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL  |  RS. 594000  |  72000  KM  ,875000,44000,2019,RADIANT RED,DIESEL,MANUAL
AMAZE V CVT PETROL  |  RS. 790000  |  47000  KM  ,594000,72000,2015,LUNAR SILVER,DIESEL,MANUAL
AMAZE V CVT PETROL  |  RS. 925000  |  25000  KM  ,790000,47000,2018,SILVER,PETROL,AMT
AMAZE V CVT PETROL  |  RS. 880000  |  43000  KM  ,925000,25000,2020,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE V CVT PETROL  |  RS. 685000  |  52000  KM  ,880000,43000,2019,MODERN STEEL METALLIC,PETROL,AMT
AMAZE V CVT PETROL  |  RS. 625000  |  59000  KM  ,685000,52000,2017,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE V CVT PETROL  |  RS. 545000  |  61000  KM  ,625000,59000,2016,RADIANT RED,PETROL,AMT
AMAZE V DIESEL  |  RS. 915000  |  35000  KM  ,545000,61000,2015,LUNAR SILVER,PETROL,AMT
AMAZE V DIESEL  |  RS. 875000  |  49000  KM  ,915000,35000,2020,SILVER,DIESEL,MANUAL
AMAZE V DIESEL  |  RS. 675000  |  64000  KM  ,875000,49000,2019,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE V DIESEL  |  RS. 625000  |  68000  KM  ,675000,64000,2016,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE V DIESEL  |  RS. 745000  |  50000  KM  ,625000,68000,2015,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE V DIESEL  |  RS. 845000  |  49000  KM  ,745000,50000,2017,RADIANT RED,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION CVT PETROL  |  RS. 955000  |  27000  KM  ,845000,49000,2018,LUNAR SILVER,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION CVT PETROL  |  RS. 775000  |  61000  KM  ,955000,27000,2020,SILVER,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL  |  RS. 715000  |  68000  KM  ,775000,61000,2017,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL  |  RS. 935000  |  41000  KM  ,715000,68000,2016,MODERN STEEL METALLIC,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL  |  RS. 875000  |  53000  KM  ,935000,41000,2019,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL  |  RS. 675000  |  73000  KM  ,875000,53000,2018,RADIANT RED,PETROL,AMT
AMAZE VX CVT PETROL  |  RS. 785000  |  60000  KM  ,675000,73000,2015,LUNAR SILVER,PETROL,AMT
AMAZE VX CVT PETROL  |  RS. 725000  |  61000  KM  ,785000,60000,2017,SILVER,PETROL,AMT
AMAZE VX CVT PETROL  |  RS. 975000  |  34000  KM  ,725000,61000,2016,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE VX CVT PETROL  |  RS. 685000  |  68000  KM  ,975000,34000,2020,MODERN STEEL METALLIC,PETROL,AMT
AMAZE VX CVT PETROL  |  RS. 925000  |  58000  KM  ,685000,68000,2015,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE VX CVT PETROL  |  RS. 955000  |  47000  KM  ,925000,58000,2018,RADIANT RED,PETROL,AMT
AMAZE S CVT DIESEL  |  RS. 790000  |  52000  KM  ,955000,47000,2019,LUNAR SILVER,PETROL,AMT
AMAZE S CVT DIESEL  |  RS. 985000  |  32000  KM  ,790000,52000,2017,SILVER,DIESEL,AMT
AMAZE S CVT DIESEL  |  RS. 690000  |  71000  KM  ,985000,32000,2020,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE S CVT DIESEL  |  RS. 935000  |  49000  KM  ,690000,71000,2015,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE S CVT DIESEL  |  RS. 745000  |  65000  KM  ,935000,49000,2018,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE S CVT DIESEL  |  RS. 965000  |  43000  KM  ,745000,65000,2016,RADIANT RED,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL  |  RS. 1030000  |  23000  KM  ,965000,43000,2019,LUNAR SILVER,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL  |  RS. 945000  |  45000  KM  ,1030000,23000,2020,SILVER,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL  |  RS. 845000  |  62000  KM  ,945000,45000,2019,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL  |  RS. 755000  |  65000  KM  ,845000,62000,2017,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL  |  RS. 715000  |  69000  KM  ,755000,65000,2016,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL  |  RS. 915000  |  53000  KM  ,715000,69000,2015,RADIANT RED,DIESEL,AMT
AMAZE EXCLUSIVE EDITION DIESEL  |  RS. 1050000  |  37000  KM  ,915000,53000,2018,LUNAR SILVER,DIESEL,AMT
AMAZE EXCLUSIVE EDITION DIESEL  |  RS. 955000  |  45000  KM  ,1050000,37000,2020,SILVER,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL  |  RS. 845000  |  65000  KM  ,955000,45000,2019,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL  |  RS. 1056000  |  32000  KM  ,845000,65000,2017,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL  |  RS. 775000  |  71000  KM  ,1056000,32000,2020,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL  |  RS. 925000  |  53000  KM  ,775000,71000,2016,RADIANT RED,DIESEL,MANUAL
AMAZE VX DIESEL  |  RS. 985000  |  35000  KM  ,925000,53000,2018,LUNAR SILVER,DIESEL,MANUAL
AMAZE VX DIESEL  |  RS. 835000  |  60000  KM  ,985000,35000,2020,SILVER,DIESEL,MANUAL
AMAZE VX DIESEL  |  RS. 715000  |  69000  KM  ,835000,60000,2017,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE VX DIESEL  |  RS. 745000  |  64000  KM  ,715000,69000,2015,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE VX DIESEL  |  RS. 935000  |  49000  KM  ,745000,64000,2016,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE VX DIESEL  |  RS. 910000  |  55000  KM  ,935000,49000,2019,RADIANT RED,DIESEL,MANUAL
AMAZE V CVT DIESEL  |  RS. 765000  |  59000  KM  ,910000,55000,2018,LUNAR SILVER,DIESEL,MANUAL
AMAZE V CVT DIESEL  |  RS. 720000  |  64000  KM  ,765000,59000,2016,SILVER,DIESEL,AMT
AMAZE V CVT DIESEL  |  RS. 835000  |  54000  KM  ,720000,64000,2015,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE V CVT DIESEL  |  RS. 1035000  |  32000  KM  ,835000,54000,2017,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE V CVT DIESEL  |  RS. 945000  |  47000  KM  ,1035000,32000,2020,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE V CVT DIESEL  |  RS. 920000  |  52000  KM  ,945000,47000,2019,RADIANT RED,DIESEL,AMT
AMAZE V CVT DIESEL  |  RS. 1045000  |  25000  KM  ,920000,52000,2018,LUNAR SILVER,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL  |  RS. 725000  |  67000  KM  ,1045000,25000,2020,SILVER,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL  |  RS. 1085000  |  31000  KM  ,725000,67000,2016,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL  |  RS. 775000  |  65000  KM  ,1085000,31000,2020,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL  |  RS. 1050000  |  45000  KM  ,775000,65000,2017,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL  |  RS. 945000  |  57000  KM  ,1050000,45000,2019,RADIANT RED,DIESEL,AMT
AMAZE VX CVT DIESEL  |  RS. 775000  |  58000  KM  ,945000,57000,2018,LUNAR SILVER,DIESEL,AMT
AMAZE VX CVT DIESEL  |  RS. 725000  |  74000  KM  ,775000,58000,2016,SILVER,DIESEL,AMT
AMAZE VX CVT DIESEL  |  RS. 845000  |  67000  KM  ,725000,74000,2015,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE VX CVT DIESEL  |  RS. 925000  |  24000  KM  ,845000,67000,2017,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE VX CVT DIESEL  |  RS. 1045000  |  41000  KM  ,925000,24000,2019,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE VX CVT DIESEL  |  RS. 875000  |  52000  KM  ,1045000,41000,2020,RADIANT RED,DIESEL,AMT
CIVIC V  |  RS. 2125000  |  31000  KM  ,875000,52000,2018,LUNAR SILVER,DIESEL,AMT
CIVIC V  |  RS. 1775000  |  62000  KM  ,2125000,31000,2020,PLATINUM WHITE PEARL,PETROL,AMT
CIVIC V  |  RS. 2015000  |  51000  KM  ,1775000,62000,2017,MODERN STEEL METALLIC,PETROL,AMT
CIVIC V  |  RS. 1845000  |  49000  KM  ,2015000,51000,2019,GOLDEN BROWN METALLIC,PETROL,AMT
CIVIC V  |  RS. 1725000  |  65000  KM  ,1845000,49000,2018,RADIANT RED METALLIC,PETROL,AMT
CIVIC VX   |  RS. 2285000  |  33000  KM  ,1725000,65000,2016,LUNAR SILVER,PETROL,AMT
CIVIC VX   |  RS. 2025000  |  68000  KM  ,2285000,33000,2020,PLATINUM WHITE PEARL,PETROL,AMT
CIVIC VX   |  RS. 1975000  |  73000  KM  ,2025000,68000,2017,MODERN STEEL METALLIC,PETROL,AMT
CIVIC VX   |  RS. 2145000  |  52000  KM  ,1975000,73000,2016,GOLDEN BROWN METALLIC,PETROL,AMT
CIVIC VX   |  RS. 2215000  |  48000  KM  ,2145000,52000,2018,RADIANT RED METALLIC,PETROL,AMT
 CIVIC VX DIESEL  |  RS. 2115000  |  75000  KM  ,2215000,48000,2019,LUNAR SILVER,PETROL,AMT
CIVIC VX DIESEL  |  RS. 2375000  |  65000  KM  ,2115000,75000,2015,PLATINUM WHITE PEARL,DIESEL,MANUAL
CIVIC VX DIESEL  |  RS. 2455000  |  51000  KM  ,2375000,65000,2016,MODERN STEEL METALLIC,DIESEL,MANUAL
CIVIC VX DIESEL  |  RS. 2415000  |  61000  KM  ,2455000,51000,2018,GOLDEN BROWN METALLIC,DIESEL,MANUAL
CIVIC VX DIESEL  |  RS. 2575000  |  21000  KM  ,2415000,61000,2017,RADIANT RED METALLIC,DIESEL,MANUAL
