MODEL,PRICE,KM,MFG YEAR,FUEL TYPE,BHP,VEHICLE TYPE,CC,DOORS,CYLINDER,GEAR,WEIGHT,ABS,AIRBAGS,CD PLAYER,CENTRAL LOCK,POWER WINDOW,POWER STEERING,MISTLAMPS,BACK SEAT DIVIDER,ALLOY WHEELS,MFG MONTH
59,915000,65000,2018,1,118,1,1497,4,4,5,1300,1,1,1,1,1,1,0,1,1,JANUARY
59,750000,72000,2015,1,118,1,1497,4,4,5,1300,1,1,1,1,1,1,0,1,1,MARCH
59,925000,25000,2020,1,118,1,1497,4,4,5,1300,1,1,1,1,1,1,0,1,1,0VEMBER
59,815000,69000,2016,1,118,1,1497,4,4,5,1300,1,1,1,1,1,1,0,1,1,MARCH
59,854000,49000,2017,1,118,1,1497,4,4,5,1300,1,1,1,1,1,1,0,1,1,AUGUST
64,1035000,28000,2020,1,118,1,1497,4,4,5,1300,1,1,1,1,1,1,1,1,1,MAY
64,985000,67000,2018,1,118,1,1497,4,4,5,1300,1,1,1,1,1,1,1,1,1,APRIL
64,1020000,26000,2019,1,118,1,1497,4,4,5,1300,1,1,1,1,1,1,1,1,1,JANUARY
64,935000,52000,2017,1,118,1,1497,4,4,5,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
64,835000,65000,2015,1,118,1,1497,4,4,5,1300,1,1,1,1,1,1,1,1,1,SEPTEMBER
407,1125000,45000,2019,1,118,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,JUNE
407,925000,67000,2016,1,118,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,OCTOBER
407,955000,51000,2015,1,118,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,JULY
407,1190000,21000,2020,1,118,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,MAY
407,975000,62000,2015,1,118,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,0VEMBER
375,1255000,49000,2017,1,118,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,JANUARY
375,1225000,65000,2016,1,118,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,MAY
375,1275000,48000,2018,1,118,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,APRIL
375,1328000,36000,2019,1,118,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,MARCH
375,1375000,25000,2020,1,118,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
376,945000,65000,2015,1,120,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,MARCH
376,1358000,32000,2020,1,120,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,AUGUST
376,975000,61000,2016,1,120,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,JANUARY
376,1325000,42000,2019,1,120,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
376,1245000,52000,2018,1,120,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,OCTOBER
205,1360000,33000,2020,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,DECEMBER
205,985000,64000,2016,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
205,1225000,52000,2017,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,MAY
205,1275000,43000,2018,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,DECEMBER
205,1345000,39000,2019,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,SEPTEMBER
